kod,nazwa,region
0401,powiat aleksandrowski,1030
2001,powiat augustowski,0520
2801,powiat bartoszycki,0515
1001,powiat bełchatowski,2515
2401,powiat będziński,1520
0601,powiat bialski,3005
0661,powiat Biała Podlaska,3005
1401,powiat białobrzeski,3010
3201,powiat białogardzki,5510
2002,powiat białostocki,0505
2061,powiat Białystok,0505
2003,powiat bielski,0505
2402,powiat bielski,1505
2461,powiat Bielsko-Biała,1505
2414,powiat bieruńsko-lędziński,1520
1801,powiat bieszczadzki,4005
0602,powiat biłgorajski,3020
1201,powiat bocheński,2020
0201,powiat bolesławiecki,5005
2802,powiat braniewski,1010
0402,powiat brodnicki,1025
1202,powiat brzeski,2020
1601,powiat brzeski,5015
1021,powiat brzeziński,2510
1802,powiat brzozowski,4005
2601,powiat buski,2005
0403,powiat bydgoski,1005
0461,powiat Bydgoszcz,1005
2462,powiat Bytom,1520
2201,powiat bytowski,1020
0662,powiat Chełm,3005
0404,powiat chełmiński,1025
0603,powiat chełmski,3005
3001,powiat chodzieski,3510
2202,powiat chojnicki,1020
2463,powiat Chorzów,1520
3202,powiat choszczeński,5515
1203,powiat chrzanowski,2010
1402,powiat ciechanowski,2525
2403,powiat cieszyński,1505
3002,powiat czarnkowsko-trzcianecki,3510
2464,powiat Częstochowa,1510
2404,powiat częstochowski,1510
2203,powiat człuchowski,1020
2465,powiat Dąbrowa Górnicza,1520
1204,powiat dąbrowski,2020
1803,powiat dębicki,4010
3203,powiat drawski,5510
2803,powiat działdowski,1010
0202,powiat dzierżoniowski,5020
2861,powiat Elbląg,1010
2804,powiat elbląski,1010
2805,powiat ełcki,0520
1403,powiat garwoliński,3015
2261,powiat Gdańsk,1015
2204,powiat gdański,1015
2262,powiat Gdynia,1015
2806,powiat giżycki,0515
2466,powiat Gliwice,1515
2405,powiat gliwicki,1515
0203,powiat głogowski,5010
1602,powiat głubczycki,5015
3003,powiat gnieźnieński,3510
3204,powiat goleniowski,5515
0405,powiat golubsko-dobrzyński,1025
2818,powiat gołdapski,0520
1205,powiat gorlicki,2015
0801,powiat gorzowski,5505
